file,has_face,emotions_fit
crop_arr_test_0.npy,1,0
crop_arr_test_1.npy,0,0
crop_arr_test_10.npy,0,0
crop_arr_test_100.npy,0,0
crop_arr_test_1000.npy,0,0
crop_arr_test_1001.npy,0,0
crop_arr_test_1002.npy,0,0
crop_arr_test_1003.npy,0,0
crop_arr_test_1004.npy,1,0
crop_arr_test_1005.npy,0,0
crop_arr_test_1006.npy,1,1
crop_arr_test_1007.npy,0,0
crop_arr_test_1008.npy,0,0
crop_arr_test_1009.npy,0,0
crop_arr_test_101.npy,0,0
crop_arr_test_1010.npy,0,0
crop_arr_test_1011.npy,1,0
crop_arr_test_1012.npy,0,0
crop_arr_test_1013.npy,0,0
crop_arr_test_1014.npy,0,0
crop_arr_test_1015.npy,0,0
crop_arr_test_1016.npy,0,0
crop_arr_test_1017.npy,0,0
crop_arr_test_1018.npy,0,0
crop_arr_test_1019.npy,0,0
crop_arr_test_102.npy,0,0
crop_arr_test_1020.npy,0,0
crop_arr_test_1021.npy,0,0
crop_arr_test_1022.npy,0,1
crop_arr_test_1023.npy,0,0
crop_arr_test_1024.npy,0,0
crop_arr_test_1025.npy,0,0
crop_arr_test_1026.npy,0,0
crop_arr_test_1027.npy,0,0
crop_arr_test_1028.npy,0,0
crop_arr_test_1029.npy,0,0
crop_arr_test_103.npy,0,0
crop_arr_test_1030.npy,1,1
crop_arr_test_1031.npy,1,0
crop_arr_test_1032.npy,0,0
crop_arr_test_1033.npy,0,0
crop_arr_test_1034.npy,0,0
crop_arr_test_1035.npy,0,0
crop_arr_test_1036.npy,0,0
crop_arr_test_1037.npy,0,0
crop_arr_test_1038.npy,0,0
crop_arr_test_1039.npy,0,0
crop_arr_test_104.npy,1,1
crop_arr_test_1040.npy,0,0
crop_arr_test_1041.npy,0,0
crop_arr_test_1042.npy,0,0
crop_arr_test_1043.npy,0,0
crop_arr_test_1044.npy,0,0
crop_arr_test_1045.npy,0,0
crop_arr_test_1046.npy,0,0
crop_arr_test_1047.npy,0,0
crop_arr_test_1048.npy,0,0
crop_arr_test_1049.npy,0,0
crop_arr_test_105.npy,1,0
crop_arr_test_1050.npy,1,1
crop_arr_test_1051.npy,0,0
crop_arr_test_1052.npy,1,1
crop_arr_test_1053.npy,1,1
crop_arr_test_1054.npy,0,0
crop_arr_test_1055.npy,0,0
crop_arr_test_1056.npy,0,0
crop_arr_test_1057.npy,0,0
crop_arr_test_1058.npy,0,0
crop_arr_test_1059.npy,0,0
crop_arr_test_106.npy,0,0
crop_arr_test_1060.npy,1,0
crop_arr_test_1061.npy,1,0
crop_arr_test_1062.npy,0,1
crop_arr_test_1063.npy,0,0
crop_arr_test_1064.npy,0,0
crop_arr_test_1065.npy,1,1
crop_arr_test_1066.npy,0,0
crop_arr_test_1067.npy,0,0
crop_arr_test_1068.npy,0,0
crop_arr_test_1069.npy,0,0
crop_arr_test_107.npy,0,0
crop_arr_test_1070.npy,0,0
crop_arr_test_1071.npy,1,0
crop_arr_test_1072.npy,0,0
crop_arr_test_1073.npy,0,0
crop_arr_test_1074.npy,1,0
crop_arr_test_1075.npy,0,0
crop_arr_test_1076.npy,1,0
crop_arr_test_1077.npy,0,0
crop_arr_test_1078.npy,1,1
crop_arr_test_1079.npy,0,0
crop_arr_test_108.npy,0,0
crop_arr_test_1080.npy,0,0
crop_arr_test_1081.npy,0,0
crop_arr_test_1082.npy,0,0
crop_arr_test_1083.npy,1,1
crop_arr_test_1084.npy,0,0
crop_arr_test_1085.npy,0,0
crop_arr_test_1086.npy,0,0
crop_arr_test_1087.npy,0,0
crop_arr_test_1088.npy,0,0
crop_arr_test_1089.npy,0,0
crop_arr_test_109.npy,0,0
crop_arr_test_1090.npy,0,0
crop_arr_test_1091.npy,0,0
crop_arr_test_1092.npy,0,0
crop_arr_test_1093.npy,0,0
crop_arr_test_1094.npy,0,0
crop_arr_test_1095.npy,0,1
crop_arr_test_1096.npy,1,1
crop_arr_test_1097.npy,0,0
crop_arr_test_1098.npy,0,0
crop_arr_test_1099.npy,0,0
crop_arr_test_11.npy,0,0
crop_arr_test_110.npy,0,0
crop_arr_test_1100.npy,1,1
crop_arr_test_1101.npy,1,0
crop_arr_test_1102.npy,0,0
crop_arr_test_1103.npy,0,0
crop_arr_test_1104.npy,0,0
crop_arr_test_1105.npy,0,0
crop_arr_test_1106.npy,1,0
crop_arr_test_1107.npy,0,0
crop_arr_test_1108.npy,0,0
crop_arr_test_1109.npy,1,1
crop_arr_test_111.npy,0,0
crop_arr_test_1110.npy,0,0
crop_arr_test_1111.npy,0,0
crop_arr_test_1112.npy,0,0
crop_arr_test_1113.npy,0,0
crop_arr_test_1114.npy,0,0
crop_arr_test_1115.npy,0,0
crop_arr_test_1116.npy,1,1
crop_arr_test_1117.npy,0,0
crop_arr_test_1118.npy,0,0
crop_arr_test_1119.npy,0,0
crop_arr_test_112.npy,0,0
crop_arr_test_1120.npy,0,0
crop_arr_test_1121.npy,0,0
crop_arr_test_1122.npy,0,0
crop_arr_test_1123.npy,0,0
crop_arr_test_1124.npy,0,0
crop_arr_test_1125.npy,0,0
crop_arr_test_1126.npy,0,0
crop_arr_test_1127.npy,0,0
crop_arr_test_1128.npy,0,1
crop_arr_test_1129.npy,0,0
crop_arr_test_113.npy,0,0
crop_arr_test_1130.npy,0,0
crop_arr_test_1131.npy,0,1
crop_arr_test_1132.npy,0,0
crop_arr_test_1133.npy,0,0
crop_arr_test_1134.npy,0,0
crop_arr_test_1135.npy,0,0
crop_arr_test_1136.npy,0,0
crop_arr_test_1137.npy,0,0
crop_arr_test_1138.npy,0,0
crop_arr_test_1139.npy,0,0
crop_arr_test_114.npy,0,0
crop_arr_test_1140.npy,0,0
crop_arr_test_1141.npy,1,1
crop_arr_test_1142.npy,0,0
crop_arr_test_1143.npy,0,0
crop_arr_test_1144.npy,1,0
crop_arr_test_1145.npy,0,1
crop_arr_test_1146.npy,1,0
crop_arr_test_1147.npy,0,0
crop_arr_test_1148.npy,1,0
crop_arr_test_1149.npy,0,0
crop_arr_test_115.npy,0,0
crop_arr_test_1150.npy,1,0
crop_arr_test_1151.npy,0,0
crop_arr_test_1152.npy,0,0
crop_arr_test_1153.npy,0,0
crop_arr_test_1154.npy,0,0
crop_arr_test_1155.npy,0,0
crop_arr_test_1156.npy,0,0
crop_arr_test_1157.npy,0,0
crop_arr_test_1158.npy,0,0
crop_arr_test_1159.npy,0,0
crop_arr_test_116.npy,0,0
crop_arr_test_1160.npy,1,0
crop_arr_test_1161.npy,0,0
crop_arr_test_1162.npy,1,0
crop_arr_test_1163.npy,0,0
crop_arr_test_1164.npy,1,0
crop_arr_test_1165.npy,0,0
crop_arr_test_1166.npy,0,0
crop_arr_test_1167.npy,0,0
crop_arr_test_1168.npy,0,0
crop_arr_test_1169.npy,0,0
crop_arr_test_117.npy,0,0
crop_arr_test_1170.npy,0,0
crop_arr_test_1171.npy,0,0
crop_arr_test_1172.npy,0,0
crop_arr_test_1173.npy,0,0
crop_arr_test_1174.npy,0,0
crop_arr_test_1175.npy,0,0
crop_arr_test_1176.npy,0,0
crop_arr_test_1177.npy,0,0
crop_arr_test_1178.npy,0,0
crop_arr_test_1179.npy,0,0
crop_arr_test_118.npy,0,0
crop_arr_test_1180.npy,0,0
crop_arr_test_1181.npy,0,1
crop_arr_test_1182.npy,0,1
crop_arr_test_1183.npy,0,0
crop_arr_test_1184.npy,0,0
crop_arr_test_1185.npy,1,0
crop_arr_test_1186.npy,0,0
crop_arr_test_1187.npy,0,0
crop_arr_test_1188.npy,0,0
crop_arr_test_1189.npy,0,0
crop_arr_test_119.npy,0,0
crop_arr_test_1190.npy,1,0
crop_arr_test_1191.npy,0,0
crop_arr_test_1192.npy,0,0
crop_arr_test_1193.npy,0,0
crop_arr_test_1194.npy,0,0
crop_arr_test_1195.npy,0,0
crop_arr_test_1196.npy,0,0
crop_arr_test_1197.npy,0,0
crop_arr_test_1198.npy,0,0
crop_arr_test_1199.npy,0,0
crop_arr_test_12.npy,0,0
crop_arr_test_120.npy,1,0
crop_arr_test_1200.npy,0,0
crop_arr_test_1201.npy,0,0
crop_arr_test_1202.npy,0,1
crop_arr_test_1203.npy,1,1
crop_arr_test_1204.npy,1,1
crop_arr_test_1205.npy,0,0
crop_arr_test_1206.npy,0,0
crop_arr_test_1207.npy,0,0
crop_arr_test_1208.npy,0,0
crop_arr_test_1209.npy,1,1
crop_arr_test_121.npy,0,0
crop_arr_test_1210.npy,0,0
crop_arr_test_1211.npy,0,0
crop_arr_test_1212.npy,0,0
